	observed_features
SLCLTDTT026	455
SLCLTDTT027	397
SLCLTDTT031	322
SLCLTDTT032	416
SLCLTDTT033	436
SLCLTDTT037	434
SLCLTDTT038	487
SLCLTDTT039	451
SLCLTDTT043	464
SLCLTDTT044	447
SLCLTDTT045	429
SLCLTDTT049	413
SLCLTDTT050	414
SLCLTDTT051	380
SLCLTDTT055	216
SLCLTDTT056	448
SLCLTDTT057	500
SLCLTDTT061	338
SLCLTDTT062	451
SLCLTDTT063	407
SLCLTDTT067	435
SLCLTDTT068	400
SLCLTDTT069	295
SLCLTDTT073	124
SLCLTDTT074	425
SLCLTDTT075	373
SLCLTDTT079	386
SLCLTDTT080	430
SLCLTDTT081	421
SLCLTDTT091	372
SLCLTDTT001	217
SLCLTDTT002	459
SLCLTDTT003	457
SLCLTDTT007	293
SLCLTDTT008	415
SLCLTDTT009	409
SLCLTDTT013	344
SLCLTDTT014	357
SLCLTDTT015	378
SLCLTDTT019	392
SLCLTDTT020	427
SLCLTDTT021	365
SLCLTDTT025	399
SLCLTDTT092	391
SLCLTDTT093	378
SLCLTDTT097	397
SLCLTDTT098	451
SLCLTDTT099	426
SLCLTDTT103	498
SLCLTDTT104	421
SLCLTDTT105	406
SLCLTDTT109	365
SLCLTDTT110	356
SLCLTDTT111	382
SLCLTDTT115	436
SLCLTDTT116	408
SLCLTDTT117	440
SLCLTDTT121	462
SLCLTDTT122	434
SLCLTDTT123	388
SLCLTDTT127	355
SLCLTDTT128	384
SLCLTDTT133	427
SLCLTDTT134	336
SLCLTDTT135	400
SLCLTDTT139	418
SLCLTDTT140	435
SLCLTDTT141	426
SLCLTDTT145	357
SLCLTDTT146	406
SLCLTDTT147	383
SLCLTDTT151	509
SLCLTDTT152	460
SLCLTDTT153	438
SLCLTDTT157	274
SLCLTDTT158	451
SLCLTDTT159	400
SLCLTDTT163	401
SLCLTDTT164	427
SLCLTDTT165	377
SLCLTDTT169	277
SLCLTDTT170	460
SLCLTDTT171	403
SLCLTDTT175	544
SLCLTDTT176	422
SLCLTDTT177	396
SLCLTDTT181	399
SLCLTDTT182	383
SLCLTDTT183	359
